"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","531","User unable to login with valid email and invalid password","User login automation suite","Thu Oct 03 17:50:06 BDT 2024","passed","Thu Oct 03 17:50:07 BDT 2024","testrunner.UserTestRunner","User can login successfully","testrunner.UserTestRunner","userDoNotLoginWithValidEmailAndInvalidPassword"
"","556","User unable to login with valid credentials","User login automation suite","Thu Oct 03 17:50:07 BDT 2024","passed","Thu Oct 03 17:50:07 BDT 2024","testrunner.UserTestRunner","User can login successfully","testrunner.UserTestRunner","userDoNotLoginWithValidCredentials"
"","480","Update a user by id","User login automation suite","Thu Oct 03 17:50:08 BDT 2024","passed","Thu Oct 03 17:50:08 BDT 2024","testrunner.UserTestRunner","User can login successfully","testrunner.UserTestRunner","updateUser"
"","2435","User unable to login with invalid email","User login automation suite","Thu Oct 03 17:50:02 BDT 2024","passed","Thu Oct 03 17:50:05 BDT 2024","testrunner.UserTestRunner","User can login successfully","testrunner.UserTestRunner","userDoNotLoginWithInvalidEmail"
"","437","Create a user with valid data","User login automation suite","Thu Oct 03 17:50:07 BDT 2024","passed","Thu Oct 03 17:50:08 BDT 2024","testrunner.UserTestRunner","User can login successfully","testrunner.UserTestRunner","testCreateUser"
"","833","User unable to login with invalid email and valid password","User login automation suite","Thu Oct 03 17:50:06 BDT 2024","passed","Thu Oct 03 17:50:06 BDT 2024","testrunner.UserTestRunner","User can login successfully","testrunner.UserTestRunner","userDoNotLoginWithInvalidEmailAndValidPassword"
"","661","User unable to login with invalid password","User login automation suite","Thu Oct 03 17:50:05 BDT 2024","passed","Thu Oct 03 17:50:05 BDT 2024","testrunner.UserTestRunner","User can login successfully","testrunner.UserTestRunner","userDoNotLoginWithInvalidPassword"
"","56","Search a user by id","User login automation suite","Thu Oct 03 17:50:08 BDT 2024","passed","Thu Oct 03 17:50:08 BDT 2024","testrunner.UserTestRunner","User can login successfully","testrunner.UserTestRunner","searchUser"
